,Mariana,Pamela,Liana,Suelen,Elisa,Ludi,Fábia,Márcia,Rafa,Patrícia
Mariana,,,,,,,,,,
Pamela,6-4; 2-6; 10-7,,,,,,,,,
Liana,7-5; 3-6; 9-11,2-6; 6-4; 10-7,,,,,,,,
Suelen,1-6; 3-6,6-4; 4-6; 2-10,WO-2,,,,,,,
Elisa,3-6; 5-7,3-6; 7-6; 11-9,6-4; 6-3,6-4; 3-6; 10-8,,,,,,
Ludi,3-6; 5-7,6-4; 7-6,6-4; 6-3,1-6; 3-6,4-6; 4-6,,,,,
Fábia,WO-1,WO-1,WO-1,1-6; 1-6,1-6; 1-6,0-6; 1-6,,,,
Márcia,0-6; 4-6,1-6; 3-6,4-6; 6-3; 6-10,6-4; 0-6; 1-10,3-6; 2-6,5-7; 3-6,WO-2,,,
Rafa,,,,,,,,,,
Patrícia,6-1; 6-2,6-3; 6-0,6-2; 6-2,6-0; 6-1,6-3; 6-3,6-1; 6-0,6-1; 6-0,6-1; 6-1,,